138,140,D,5,M,0,V
140,144,D,1,M,0,I
144,148,D,5,D7,2,V43
148,152,D,1,M,0,I
152,156,D,5,D7,1,V65
156,160,D,1,M,0,I
160,164,D,5/4,D7,0,V7/IV
164,166,D,4,M,0,IV
166,167,D,1,M,2,I64
167,168,D,5,D7,0,V7
168,172,D,1,M,0,I
172,176,D,4,M,0,IV
176,177,D,1,M,0,I
177,178,D,2,m,1,ii6
178,179,D,1,M,2,I64
179,180,D,5,M,0,V
180,184,D,1,M,0,I
184,188,D,4,M,0,IV
188,189,D,1,M,0,I
189,190,D,2,m,1,ii6
190,191,D,1,M,2,I64
191,192,D,5,M,0,V
192,194,D,1,M,0,I
194,196,D,5,D7,3,V42
196,198,D,1,M,0,I
198,200,D,5,D7,3,V42
200,201,D,1,M,0,I
201,202,D,5,D7,3,V42
202,203,D,1,M,0,I
203,204,D,5,D7,3,V42
204,208,D,1,M,0,I
208,213,G,1,M,0,I
213,214,G,1,M,1,I6
214,215,G,5,M,2,V64
215,216,G,1,M,0,I
216,217,G,5,M,1,V6
217,218,G,5,M,0,V
218,219,G,1,M,0,I
219,220,G,5/4,D7,3,V42/IV
220,221,G,6,m7,0,vi7
221,222,G,5,D7,1,V65
222,229,G,1,M,0,I
229,230,G,1,M,1,I6
230,231,G,5,M,2,V64
231,232,G,1,M,0,I
232,233,G,5,M,1,V6
233,234,G,5,M,0,V
234,235,G,1,M,0,I
235,236,G,5/4,D7,3,V42/IV
236,237,G,6,m7,0,vi7
237,238,G,5,D7,1,V65
238,240,G,1,M,0,I
240,244,G,2,m,1,ii6
244,248,G,1,M,1,I6
248,250,G,4,M,0,IV
250,252,G,5,M,0,V
252,256,G,1,M,0,I
256,260,G,2,m,1,ii6
260,264,G,5/5,D7,1,V65/V
264,268,G,5,D7,0,V7
268,272,G,1,M,2,I64
272,276,G,5,D7,0,V7
276,280,G,1,M,2,I64
280,281,G,5,M,0,V
281,282,G,1,M,2,I64
282,283,G,5,M,0,V
283,284,G,1,M,2,I64
284,288,G,5,M,0,V
288,289,D,1,M,1,I6
289,290,D,5,D7,3,V42
290,291,D,1,M,1,I6
291,292,D,5,M,1,V6
292,293,D,1,M,0,I
293,294,D,5,M,1,V6
294,296,D,5,M,0,V
296,297,D,5,D7,3,V42
297,298,D,1,M,1,I6
298,299,D,5,M,2,V64
299,300,D,1,M,0,I
300,301,D,5,D7,1,V65
301,304,D,1,M,0,I
304,306,D,2,m,1,ii6
306,308,D,1,M,1,I6
308,310,D,2,m,1,ii6
310,312,D,1,M,1,I6
312,314,D,2,m,1,ii6
314,316,D,5/5,D7,1,V65/V
316,320,D,5,M,0,V
320,321,D,1,M,1,I6
321,322,D,5,D7,3,V42
322,323,D,1,M,1,I6
323,324,D,5,M,1,V6
324,325,D,1,M,0,I
325,328,D,5,M,0,V
328,329,D,5,D7,3,V42
329,330,D,1,M,1,I6
330,331,D,5,M,2,V64
331,332,D,1,M,0,I
332,333,D,5,D7,1,V65
333,336,D,1,M,0,I
336,338,D,2,m,1,ii6
338,340,D,1,M,1,I6
340,342,D,2,m,1,ii6
342,344,D,1,M,1,I6
344,346,D,2,m,1,ii6
346,348,D,5,M,0,V
348,352,D,1,M,0,I
352,356,D,5,D7,2,V43
356,360,D,1,M,0,I
360,364,D,5,D7,1,V65
364,368,D,1,M,0,I
368,372,D,5/4,D7,0,V7/IV
372,374,D,4,M,0,IV
374,375,D,1,M,2,I64
375,376,D,5,D7,0,V7
376,380,D,1,M,0,I
380,384,D,4,M,0,IV
384,385,D,1,M,0,I
385,386,D,2,m,1,ii6
386,387,D,1,M,2,I64
387,388,D,5,M,0,V
388,392,D,1,M,0,I
392,396,D,4,M,0,IV
396,397,D,1,M,0,I
397,398,D,2,m,1,ii6
398,399,D,1,M,2,I64
399,400,D,5,M,0,V
400,402,D,1,M,0,I
402,404,D,5,D7,3,V42
404,406,D,1,M,0,I
406,408,D,5,D7,3,V42
408,409,D,1,M,0,I
409,410,D,5,D7,3,V42
410,411,D,1,M,0,I
411,412,D,5,D7,3,V42
412,416,D,1,M,0,I
416,420,a,4,m,0,iv
420,421,a,1,m,1,i
421,422,a,5,D7,3,V42
422,423,a,1,m,1,i6
423,424,a,5,M,1,V6
424,425,a,1,m,0,i
425,426,a,5,D7,2,V43
426,427,a,1,m,1,i6
427,428,a,5,D7,2,V43
428,432,e,4,m,0,iv
432,433,e,1,m,1,i
433,434,e,5,D7,3,V42
434,435,e,1,m,1,i6
435,436,e,5,M,1,V6
436,438,e,1,m,0,i
438,440,e,+4,a6,1,Gr+6
440,442,e,5,M,0,V
442,444,e,5,D7,0,V7
444,446,e,1,m,2,i64
446,447,e,5,M,0,V
447,448,e,1,m,2,i64
448,450,e,5,M,0,V
450,452,e,5,D7,0,V7
452,454,e,1,m,2,i64
454,455,e,5,M,0,V
455,456,e,1,m,2,i64
456,458,e,5,M,0,V
458,460,e,5,D7,0,V7
460,462,G,6,m,0,vi
462,464,G,6,m7,0,vi7
464,466,G,2,m,0,ii
466,468,G,2,m7,0,ii7
468,470,G,5,M,0,V
470,472,G,5,D7,0,V7
472,477,G,1,M,0,I
477,478,G,1,M,1,I6
478,479,G,5,M,2,V64
479,480,G,1,M,0,I
480,481,G,5,M,1,V6
481,482,G,5,M,0,V
482,483,G,1,M,0,I
483,484,G,5/4,D7,3,V42/IV
484,485,G,6,m7,0,vi7
485,486,G,5,D7,1,V65
486,493,G,1,M,0,I
493,494,G,1,M,1,I6
494,495,G,5,M,2,V64
495,496,G,1,M,0,I
496,497,G,5,M,1,V6
497,498,G,5,M,0,V
498,499,G,1,M,0,I
499,500,G,5/4,D7,3,V42/IV
500,501,C,1,M,1,I6
501,502,C,4,M,0,IV
502,503,C,1,M,2,I64
503,504,C,5,D7,0,V7
504,508,C,1,M,0,I
508,512,C,5,D7,2,V43
512,516,C,1,M,0,I
516,520,C,5,D7,1,V65
520,524,C,1,M,0,I
524,528,G,5/2,D7,2,V43/ii
528,530,G,2,m,1,ii6
530,532,G,5/5,D7,1,V65/V
532,536,G,5,D7,0,V7
536,540,G,1,M,2,I64
540,544,G,5,D7,0,V7
544,548,G,1,M,2,I64
548,549,G,5,M,0,V
549,550,G,1,M,2,I64
550,551,G,5,M,0,V
551,552,G,1,M,2,I64
552,556,G,5,M,0,V
556,557,G,1,M,1,I6
557,558,G,5,D7,3,V42
558,559,G,1,M,1,I6
559,560,G,5,M,1,V6
560,561,G,1,M,0,I
561,562,G,5,M,1,V6
562,564,G,5,M,0,V
564,565,G,5,D7,3,V42
565,566,G,1,M,1,I6
566,567,G,5,M,2,V64
567,568,G,1,M,0,I
568,569,G,5,D7,1,V65
569,572,G,1,M,0,I
572,574,G,2,m,1,ii6
574,576,G,1,M,1,I6
576,578,G,2,m,1,ii6
578,580,G,1,M,1,I6
580,582,G,2,m,1,ii6
582,584,G,5/5,D7,1,V65/V
584,588,G,5,M,0,V
588,589,G,1,M,1,I6
589,590,G,5,D7,3,V42
590,591,G,1,M,1,I6
591,592,G,5,M,1,V6
592,593,G,1,M,0,I
593,594,G,5,M,1,V6
594,596,G,5,M,0,V
596,597,G,5,D7,3,V42
597,598,G,1,M,1,I6
598,599,G,5,M,2,V64
599,600,G,1,M,0,I
600,601,G,5,D7,1,V65
601,604,G,1,M,0,I
604,606,G,2,m,1,ii6
606,608,G,1,M,1,I6
608,610,G,2,m,1,ii6
610,612,G,1,M,1,I6
612,614,G,2,m,1,ii6
614,615,G,1,M,2,I64
615,616,G,5,M,0,V
616,620,G,1,M,0,I
620,624,G,5,D7,2,V43
624,628,G,1,M,0,I
628,632,G,5,D7,1,V65
632,636,G,1,M,0,I
636,638,G,5/4,D7,1,V65/IV
638,640,G,7/2,d7,1,vii-65/ii
640,642,G,2,m,1,ii6
642,643,G,1,M,2,I64
643,644,G,5,D7,0,V7
644,648,G,1,M,0,I
648,652,G,4,M,0,IV
652,653,G,1,M,0,I
653,654,G,2,m,1,ii6
654,655,G,1,M,2,I64
655,656,G,5,M,0,V
656,660,G,1,M,0,I
660,664,G,4,M,0,IV
664,665,G,1,M,0,I
665,666,G,2,m,1,ii6
666,667,G,1,M,2,I64
667,668,G,5,M,0,V
668,670,G,1,M,0,I
670,672,G,5,D7,3,V42
672,674,G,1,M,0,I
674,676,G,5,D7,3,V42
676,678,G,1,M,0,I
678,680,G,5,D7,3,V42
680,682,G,1,M,0,I
682,684,G,5,D7,3,V42
684,685,G,1,M,0,I
685,686,G,5,D7,3,V42
686,687,G,1,M,0,I
687,688,G,5,D7,3,V42
688,690,G,1,M,0,I
690,692,G,5,D7,0,V7
692,696,G,1,M,0,I
